# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 24 11:24:04 CEST 2023 [seed=1692869028985]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5078.353187904176	-47.13545697259883	-5031.217730931577	46.60592414776322	1975.3940758522367	74.16394903855212	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.0010000000000000002	-5031.217730931577	0.0	-51.715491421056
100000	-2788.9838666120813	-281.6380931601675	-2507.345773451914	97.04080142980256	1924.9591985701975	914.9331814760462	106.3289199150544	15.316244137352497	0.22698660127541315	0.22113603702397217	0.26326846055420755	0.288608901146407	0.06906934342979994	8.381828454274386E-4	8.381828454274387E-4	-2507.345773451914	0.0	-280.1031182509152
200000	-2812.5613294145787	-310.98398150429847	-2501.5773479102804	161.97983245412132	1860.0201675458786	1535.886372011132	187.62151292647405	15.761115859361103	0.21738092143676654	0.24139228212128377	0.2448536168670789	0.2963731795748716	0.1071713370420589	6.529441524505525E-4	6.529441524505528E-4	-2501.5773479102804	0.0	-308.8922491709112
300000	-2817.6189900394265	-310.31647592032976	-2507.302514119097	160.9664913337069	1861.033508666293	1488.4973634042121	170.69343217344897	14.105347469488436	0.22529412182994205	0.2696108644118273	0.2229833076152181	0.282111706143014	0.1066445747523461	5.262679369328217E-4	5.262679369328221E-4	-2507.302514119097	0.0	-308.86392127247865
400000	-2823.0188154423117	-319.45212179503284	-2503.566693647279	212.3079374761978	1809.6920625238022	1801.954874991946	263.5461468346635	13.534779171136641	0.23109500283124979	0.22902955811315523	0.24558764634142774	0.2942877927141685	0.09856410167548628	4.8123637201963473E-4	4.812363720196349E-4	-2503.566693647279	0.0	-317.72208781792904
500000	-2827.6447939482277	-314.8113294106431	-2512.833464537585	159.00792362709115	1862.9920763729087	1556.4224841827554	254.89801892513404	12.311657589877717	0.20128847294707508	0.2406775827355337	0.27004622308743415	0.28798772122995897	0.06013813117589653	4.142764965319068E-4	4.1427649653190683E-4	-2512.833464537585	0.0	-313.6047141411487
600000	-2829.134626398023	-305.88358094790203	-2523.251045450121	154.07029675607657	1867.9297032439235	1409.0310595963501	182.52939245043788	12.537131676739364	0.2508569504396235	0.21404588120689957	0.2363370744681723	0.29876009388530594	0.050442110154874736	5.404301527655733E-4	5.404301527655733E-4	-2523.251045450121	0.0	-304.6951583763915
700000	-2823.4166258668683	-316.3894091393113	-2507.027216727557	153.089926686144	1868.910073313856	1558.5430335416308	226.5978393734771	14.151487286385436	0.22491378805710605	0.23212917855004409	0.22256724486503887	0.3203897885278115	0.09068189523711175	5.337518241473632E-4	5.337518241473629E-4	-2507.027216727557	0.0	-314.6461667445114
800000	-2803.9502686450514	-296.9411068000018	-2507.0091618450497	136.4722026208893	1885.5277973791108	1234.2326243631678	111.54847801866993	18.13054862141173	0.21850080443871556	0.2551893748203798	0.22967605265507396	0.2966337680858312	0.11759885623653524	8.614139503535318E-4	8.614139503535315E-4	-2507.0091618450497	0.0	-294.73641463251784
900000	-2824.3192413132924	-322.8716500115249	-2501.4475913017677	177.43469839649342	1844.5653016035067	1838.314261729083	213.9747767461096	12.611169968023702	0.19223243058075662	0.2521423573302867	0.26465787134027274	0.2909673407486839	0.11238100932408224	5.102091008095457E-4	5.10209100809546E-4	-2501.4475913017677	0.0	-321.3740466485933
1000000	-2819.913616175274	-306.115702564339	-2513.7979136109348	147.60012347659693	1874.399876523403	1404.1634657125542	170.20484578924172	12.917469756134594	0.2366122265050614	0.2464435400640693	0.24643831520219495	0.2705059182286741	0.10426989859129383	5.519318489878183E-4	5.519318489878185E-4	-2513.7979136109348	0.0	-304.804342463235
1100000	-2798.132634419834	-299.46279415619045	-2498.669840263644	138.88536696928452	1883.1146330307156	1289.3323028986501	160.72316570748575	15.37953626488131	0.21936662203025853	0.2552417493085579	0.2550935295765924	0.2702980990845908	0.11216843067425009	6.266023534821515E-4	6.266023534821518E-4	-2498.669840263644	0.0	-297.6957417105236
1200000	-2827.231793819956	-328.80792321190296	-2498.4238706080528	190.017738550146	1831.982261449854	2007.7699123037826	282.48439504098286	16.760746580513533	0.2306946668847075	0.2734466263604945	0.22540793557098138	0.2704507711838161	0.034545703773315006	3.5016597401638533E-4	3.5016597401638555E-4	-2498.4238706080528	0.0	-327.065667699545
1300000	-2849.6372014567855	-345.3815163191976	-2504.255685137588	283.6792872727595	1738.3207127272406	2701.526480223328	442.2695586764821	16.191644554104073	0.23508797358992514	0.23994037660039874	0.2397760292756397	0.2851956205340357	0.110656749970452	2.923400516323538E-4	2.923400516323538E-4	-2504.255685137588	0.0	-343.26505015771073
1400000	-2860.943549654629	-359.53428465145544	-2501.4092650031735	288.70625336680524	1733.2937466331948	3182.3567626754125	460.8139205854645	13.922784110369067	0.2292217315216536	0.26011033040836357	0.2575777149826291	0.2530902230873528	0.11733289406834525	2.3661887352744346E-4	2.3661887352744338E-4	-2501.4092650031735	0.0	-357.9038794590331
1500000	-2837.610392484944	-343.9670288854333	-2493.643363599511	235.84923529557375	1786.1507647044264	2525.085348875049	375.0310523505986	10.897663659515533	0.2136839339608014	0.26962790376664375	0.2330095775169088	0.28367858475564495	0.0868159398200534	2.871362058854996E-4	2.8713620588549947E-4	-2493.643363599511	0.0	-342.9010666044825
1600000	-2798.1945848570526	-287.92312461525097	-2510.271460241802	113.65933171651305	1908.340668283487	1015.214095776216	131.9768173761665	13.662465498930676	0.20696392007714165	0.26516884621875086	0.2385434502969982	0.28932378340710835	0.09023628356366507	8.45287339596498E-4	8.452873395964983E-4	-2510.271460241802	0.0	-286.3227571250341
1700000	-2817.7524990821717	-306.2312155822643	-2511.5212834999074	147.78466032464462	1874.2153396753554	1370.3230008674134	220.48129500094313	13.537641356499373	0.21711839972360505	0.26220077076178766	0.24556631710643267	0.2751145124081737	0.09559114683627765	5.430323206308265E-4	5.430323206308265E-4	-2511.5212834999074	0.0	-304.6108330338234
1800000	-2802.0607105100917	-302.44762919595405	-2499.6130813141376	145.2140787458024	1876.7859212541975	1339.3084104371362	134.36990595966202	11.668404077924315	0.2287109240753145	0.26430517487125915	0.21918314774267852	0.2878007533107466	0.09301572594478033	6.08115513544881E-4	6.081155135448809E-4	-2499.6130813141376	0.0	-301.48344499614893
1900000	-2804.598769981725	-295.0049374434412	-2509.593832538284	134.74681172699232	1887.2531882730077	1240.6657474764056	125.00209633242426	9.934457019754998	0.2393957174584831	0.23012896802889238	0.25588562403696624	0.274589690475657	0.07194829631182247	6.295788739359428E-4	6.295788739359435E-4	-2509.593832538284	0.0	-294.43551044335953
2000000	-2784.9736405241815	-267.381973835975	-2517.5916666882067	93.36195794673026	1928.6380420532698	770.9912754420509	64.01207450416887	11.181222704231581	0.23711277815357254	0.2528842754580936	0.20609155710282645	0.303911389285506	0.10247490524165101	0.0011557353872159168	0.0011557353872159173	-2517.5916666882067	0.0	-266.5484417871965
2100000	-2810.9821911284507	-308.5077651529734	-2502.4744259754775	129.50920437965755	1892.4907956203424	1356.9472153088393	156.31975123448638	12.35074079932408	0.23992595942955794	0.23500050877599082	0.2480662273477342	0.2770073044467158	0.09957223086875572	6.290603761133901E-4	6.290603761133904E-4	-2502.4744259754775	0.0	-307.2187693810045
2200000	-2823.17303798008	-330.8428665857249	-2492.330171394355	216.6833063628956	1805.3166936371044	2092.963398250931	307.0332002405518	15.485061487054413	0.234295433571934	0.2486010404758817	0.22077017874690116	0.2963333472052822	0.10524215863971037	4.2356068214017146E-4	4.235606821401713E-4	-2492.330171394355	0.0	-328.7873945387584
2300000	-2805.4932804101195	-304.8658396834945	-2500.627440726625	152.37445051832307	1869.625549481677	1373.6190201888967	148.45129070831055	15.191131198878985	0.20758286048255592	0.2571007280285965	0.2660773935566056	0.26923901793224125	0.11776866943096105	6.011124193108758E-4	6.011124193108756E-4	-2500.627440726625	0.0	-303.227588513132
2400000	-2912.480270487151	-417.8319632705977	-2494.648307216553	983.4919352708044	1038.5080647291957	10461.181888645153	1560.4611622747398	15.243979670217975	0.22811971002651507	0.24750514589700134	0.2199858954734563	0.3043892486030271	0.08563291829325813	7.131372968905869E-5	7.131372968905874E-5	-2494.648307216553	0.0	-416.0588339752114
2500000	-2879.618410461526	-375.23260395971886	-2504.385806501807	444.93022180124285	1577.0697781987571	4713.425610351148	759.7267544531095	14.157952372683257	0.2127405623554847	0.24920544301421405	0.23471992118823085	0.3033340734420701	0.09545888574151466	1.8757707597597497E-4	1.8757707597597494E-4	-2504.385806501807	0.0	-373.29303340904033
2600000	-2814.3763619302445	-307.1759359578124	-2507.200425972432	155.28654011681127	1866.7134598831888	1429.3051864898507	130.08152244650955	13.047836705793209	0.23512112577086813	0.27497870062976715	0.22544259489755053	0.26445757870181424	0.0999217723073865	5.315014841232094E-4	5.315014841232097E-4	-2507.200425972432	0.0	-306.165080307473
2700000	-2822.133242325371	-316.70630226281935	-2505.4269400625517	168.05444588661322	1853.9455541133868	1610.9067198588427	241.02834019183396	11.213641207338828	0.23876185106404588	0.2627285020956449	0.24038170568281808	0.25812794115749116	0.11527722568766541	4.661085268380388E-4	4.6610852683803833E-4	-2505.4269400625517	0.0	-315.47848353435126
2800000	-2802.1089965643037	-288.6152864279342	-2513.4937101363694	118.6347955163576	1903.3652044836424	1034.7929886374939	120.95656666433995	14.492767626509238	0.2298619624574111	0.25208419122251857	0.22232438726250303	0.29572945905756737	0.08001090562833002	8.043899252513468E-4	8.043899252513469E-4	-2513.4937101363694	0.0	-287.0616043600718
2900000	-2821.210785751559	-318.90679214352105	-2502.3039936080377	197.50657437503094	1824.493425624969	1757.556373360015	273.9672368408324	14.50083648775538	0.25445974259921733	0.26674860163466996	0.19682058255759405	0.2819710732085192	0.03486994996943565	4.1051537489213645E-4	4.105153748921363E-4	-2502.3039936080377	0.0	-317.3367321332613
3000000	-2819.132204832406	-307.94009681068934	-2511.1921080217166	169.5662406352865	1852.4337593647135	1490.5475870971613	136.20765898124577	12.987643920036978	0.21344607979263788	0.21576415114647157	0.27242957227310033	0.2983601967877911	0.11332006894964158	6.062309618403769E-4	6.062309618403771E-4	-2511.1921080217166	0.0	-306.67694615769966
3100000	-2819.3278426590223	-306.877137716446	-2512.450704942576	162.40259813967853	1859.5974018603215	1434.5860854491027	172.5065581770931	12.223550084488494	0.18892248950971127	0.24798703097785602	0.2643724384899574	0.2987180410224763	0.10621822400626363	5.189893738684185E-4	5.189893738684184E-4	-2512.450704942576	0.0	-305.7297222024296
3200000	-2827.8677880601817	-323.56812985611003	-2504.299658204072	192.97914932551708	1829.020850674483	1887.054252569339	281.71989983699115	12.743805386309814	0.2180317992173741	0.24684565332682332	0.2576018906969754	0.2775206567588283	0.10368110602498604	5.092522093950204E-4	5.092522093950208E-4	-2504.299658204072	0.0	-321.78305903851475
3300000	-2807.5411050871985	-300.1238495023816	-2507.4172555848168	120.12834087339027	1901.8716591266098	1201.4168935684866	132.69213255482748	15.70289649167537	0.21249892402453568	0.25068681832016754	0.2426762385947125	0.2941380190605855	0.10966417211535796	7.885323144596611E-4	7.885323144596613E-4	-2507.4172555848168	0.0	-298.2197335876878
3400000	-2837.338543141605	-331.7935982478799	-2505.544944893725	195.8233776681298	1826.1766223318702	2033.8493276848128	232.23141371250676	18.00343845545691	0.22115829561009512	0.22216223003965554	0.27062719631793886	0.2860522780323115	0.11969398558631164	4.4796716034888485E-4	4.47967160348885E-4	-2505.544944893725	0.0	-329.59576032103064
3500000	-2828.5255558963454	-328.5793695273862	-2499.9461863689594	182.00038754757932	1839.9996124524207	1925.941838667556	255.8854786463591	19.175633362645293	0.22815937905513778	0.23866585817675123	0.2353376075875136	0.29783715518059817	0.12316916337152328	4.048053688239469E-4	4.0480536882394686E-4	-2499.9461863689594	0.0	-326.29177870787
3600000	-2809.838665745208	-298.93091079992377	-2510.907754945284	135.91624220069764	1886.0837577993025	1272.216886832627	124.06383002691922	14.862122243927152	0.22589589158689308	0.25804517021729323	0.22575217226657862	0.29030676592923554	0.11064070354356054	7.611352172854264E-4	7.611352172854261E-4	-2510.907754945284	0.0	-297.23324369924796
3700000	-2782.158792579558	-278.7051899358374	-2503.4536026437204	106.27386923580363	1915.7261307641963	914.002562469931	104.49678704197008	12.603302608981002	0.21494080393124645	0.23185108955322908	0.2730941836239305	0.28011392289159487	0.10401648987326018	9.820968175477795E-4	9.820968175477795E-4	-2503.4536026437204	0.0	-277.3057198111633
3800000	-2822.2018305420047	-321.4222798210133	-2500.779550720991	181.38715170241048	1840.6128482975896	1804.1330417092997	228.595320745131	21.157542418620487	0.23075150009118034	0.231542991830952	0.2349021607616551	0.3028033473162137	0.08728595505781248	4.3817269017307393E-4	4.3817269017307377E-4	-2500.779550720991	0.0	-319.0116417887
3900000	-2808.6881716417706	-299.8371732375266	-2508.850998404244	137.71658835545261	1884.2834116445474	1259.899987511871	145.5241323930853	16.31429642886761	0.23457482774257832	0.25164892743876777	0.23312428878328295	0.28065195603537213	0.09621543941373942	6.034718592244285E-4	6.034718592244285E-4	-2508.850998404244	0.0	-298.1306510160656
4000000	-2806.55070780944	-307.06745274652974	-2499.4832550629103	151.79603901572528	1870.2039609842748	1421.5272038508404	133.22412432563073	16.70818629451961	0.23585637989916985	0.25225296358981164	0.24132433497408828	0.27056632153693133	0.0995980258293263	5.520523673366545E-4	5.520523673366545E-4	-2499.4832550629103	0.0	-305.47150826476206
4100000	-2821.5840411985323	-322.69440356114364	-2498.8896376373887	199.1133054772269	1822.886694522773	1877.619385843832	225.49487070690293	11.085962022936481	0.25337627423802495	0.21336468088011415	0.25449536549058904	0.2787636793912731	0.07058713597903178	3.7534066909357866E-4	3.753406690935785E-4	-2498.8896376373887	0.0	-321.87538392181676
4200000	-2854.2814903574176	-340.4427208043581	-2513.8387695530596	270.89019170887747	1751.1098082911226	2607.7788837199473	341.7506071992797	12.396033280401443	0.22707834839087737	0.23224346018869144	0.23720198800498032	0.3034762034154523	0.10691888375062229	3.14411853495456E-4	3.14411853495456E-4	-2513.8387695530596	0.0	-339.0567206701296
4300000	-2818.606693526835	-310.9514459603018	-2507.655247566533	126.49199543619541	1895.5080045638047	1359.114537169671	214.31074858071779	16.75143947463876	0.24389326033068123	0.23027896408521298	0.23135233250404982	0.2944754430800572	0.08212797048093767	6.043488099095217E-4	6.043488099095216E-4	-2507.655247566533	0.0	-308.80512987269094
4400000	-2842.2043523611906	-330.87852883928906	-2511.3258235219014	221.96791193973476	1800.0320880602653	2129.3732099440513	227.10330312510527	15.759590812223895	0.23306649330588136	0.24671108206823233	0.23151071282082583	0.28871171180506144	0.11266710985343452	4.4855826690456946E-4	4.485582669045696E-4	-2511.3258235219014	0.0	-328.9838188584892
4500000	-2815.516377073571	-306.54466340123366	-2508.9717136723375	157.30083797971065	1864.6991620202894	1446.1092609404902	155.3390654352909	14.20254902112065	0.20501652930481282	0.2449501292517944	0.24968467536138278	0.30034866608201105	0.11103139267528961	6.22992169440888E-4	6.229921694408881E-4	-2508.9717136723375	0.0	-304.94710126869614
4600000	-2871.3356954833534	-354.31011297730197	-2517.0255825060517	307.49006134698163	1714.5099386530183	3091.401220732051	417.84504526449035	10.915675629278295	0.2141545479149012	0.23275645129050507	0.2321081699761627	0.32098083081843193	0.1086262022387531	3.352908456961494E-4	3.3529084569614926E-4	-2517.0255825060517	0.0	-352.8014872587964
4700000	-2850.5124478527664	-330.8305407485241	-2519.6819071042423	213.99609479348914	1808.0039052065108	2131.039620077013	191.65789320974605	13.675884214029377	0.21143787068644113	0.2469269204836144	0.2566885476281781	0.28494666120176726	0.10659815774346411	3.9441951107435695E-4	3.9441951107435717E-4	-2519.6819071042423	0.0	-329.59187737711187
