# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 24 11:24:37 CEST 2023 [seed=1692869064352]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-41958.05954706537	-289.23333524195573	-41668.82621182341	43.99863843578809	1974.001361564212	127.2391349996546	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.0010000000000000007	-41668.82621182341	0.0	-294.030189553746
100000	-10158.35261878874	-1617.9512569251106	-8540.401361863629	90.23584437891566	1927.7641556210842	2002.3086488640702	167.3311077870045	10.265167687846885	0.2424397211827004	0.27264587822849784	0.24322874155468113	0.24168565903412093	0.18744560106156027	0.001752804649402237	0.0017528046494022366	-8540.401361863629	0.0	-1613.7977457058926
200000	-9994.981815064006	-1778.674241235733	-8216.307573828273	117.92118741138259	1900.0788125886174	3041.8880857381077	375.08247102719963	13.45581309155933	0.20445241932442806	0.27630136252962145	0.2659796755471924	0.2532665425987586	0.19667561922257648	0.0010525254844593922	0.0010525254844593926	-8216.307573828273	0.0	-1773.9429287893752
300000	-9950.284091202737	-1783.2241634286122	-8167.059927774124	141.1784601090268	1876.8215398909733	3271.7866661889284	332.2257766142183	15.611409775311957	0.21065424500672913	0.29962544844300454	0.26576380179772596	0.22395650475254167	0.1769869713024909	9.717855423102975E-4	9.717855423102979E-4	-8167.059927774124	0.0	-1778.4443271873627
400000	-9953.330573290528	-1848.5433408281328	-8104.787232462395	170.61418661652587	1847.3858133834742	3940.146909900651	386.9541831191236	11.425240485168718	0.2031651259691998	0.2695687646708689	0.27503637303893147	0.2522297363210016	0.18996773064257533	8.294836124598643E-4	8.29483612459864E-4	-8104.787232462395	0.0	-1844.2985767769358
500000	-10028.764676996421	-1871.720780873012	-8157.0438961234095	144.1838883951593	1873.8161116048407	3954.4737594525623	482.60722604400064	11.303029080396195	0.21709667382016937	0.2969103702125285	0.2461003873266075	0.23989256864069688	0.17967075443170508	7.754285664835599E-4	7.754285664835609E-4	-8157.0438961234095	0.0	-1867.5336974196048
600000	-9996.671224525193	-1876.3999394712391	-8120.271285053954	154.07956930932343	1863.9204306906765	4091.8405190608146	505.1823215970001	11.005172506097985	0.21431949475339634	0.28206974278626	0.25287614784259843	0.25073461461774726	0.1976146673424271	7.439269701225999E-4	7.439269701226001E-4	-8120.271285053954	0.0	-1872.2422771271872
700000	-10040.435643846795	-1908.677086362904	-8131.75855748389	178.8219501559235	1839.1780498440764	4467.599828269842	485.85783006856286	11.838835241595394	0.2303810099430467	0.2727117364670639	0.26015178466827277	0.23675546892161867	0.195554432172908	7.439799837309479E-4	7.439799837309488E-4	-8131.75855748389	0.0	-1904.1865906259218
800000	-10005.085612372219	-1890.3130872480067	-8114.772525124213	169.2025678662415	1848.7974321337585	4363.136143651486	499.5572404410009	10.75753312011634	0.21170037439892522	0.27538626178325376	0.24748878033078844	0.2654245834870348	0.1848117480003182	7.075242852361229E-4	7.075242852361229E-4	-8114.772525124213	0.0	-1886.2493790012759
900000	-9995.11415618763	-1909.358823703508	-8085.755332484123	186.61410647428318	1831.3858935257167	4660.615872548126	511.54063776725417	14.664783711965672	0.22388291063989055	0.29563339409189304	0.23012673145292598	0.2503569638152927	0.18173217795765798	7.187359353616243E-4	7.187359353616246E-4	-8085.755332484123	0.0	-1904.4266143681486
1000000	-9969.354264148351	-1885.8834130715343	-8083.470851076817	172.4118573415294	1845.5881426584706	4221.196376249963	514.7961886597167	10.85738184683023	0.22620109201193245	0.27734282944981886	0.2607747324668786	0.2356813460713724	0.18846952292242627	8.038099014097281E-4	8.038099014097273E-4	-8083.470851076817	0.0	-1881.3785939469963
1100000	-9940.623153493687	-1832.198249589547	-8108.424903904141	157.47126035234265	1860.5287396476574	3711.745045031029	403.8988167874864	12.176869604578698	0.207834939097869	0.29001561017236466	0.25660942362300365	0.2455400271067645	0.1702741258169622	8.313743298958938E-4	8.313743298958939E-4	-8108.424903904141	0.0	-1827.9778959493701
1200000	-9962.450683743402	-1872.1171274090214	-8090.333556334381	148.3094503039494	1869.6905496960505	3970.397566719184	486.6856034554374	11.821523115002	0.2182785137841755	0.291336093611716	0.2699850498693513	0.22040034273475914	0.17756770876942912	7.816786033707293E-4	7.816786033707306E-4	-8090.333556334381	0.0	-1867.8002663025534
