# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 24 13:16:20 CEST 2023 [seed=1692875769957]
# -window -working -options
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-33241.820312631055	-3587.6073573969206	-29654.212955234132	271.9863432980433	1746.0136567019567	1518.0304202706402	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	200.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.007	0.3333333333333333	0.001740951587958555	3.998820981685195	-0.058841990022089175	-29654.212955234132	-668.1210644601031	-2889.944629724159
100000	-12344.663812783972	-1196.6277978461735	-11148.0360149378	155.2608967120382	1862.7391032879618	1909.7447644704866	0.7870851904877922	3.268820123386902	5.083052006913761	5.437444691644104	6.384615148286002	5.832336411613421	5.462082902756319	5.722426524872375	6.0018379186304935	5.3488274714408295	5.826280830007349	6.747444750947967	4.731368105370489	4.333993152424871	7.11999903968801	5.109042681904781	6.6522347050176664	5.074875784683143	6.560862091505408	8.145762123246483	8.81995040883785	6.675479961471945	6.480773126492356	4.882156065215734	5.6637920223348655	6.2408762300823515	4.708938625454173	6.07979278421538	4.951356902808376	5.233184629576038	4.470019952598559	4.8104186877353525	4.9722284878049905	4.114911749802653	4.673091615500027	3.324307606098884	3.565938398565772	2.4323115590061497	2.5526768739793213	2.758289133565362	1.2186054793610313	2.619983024916005	3.7969918123844897	3.990109827764703	4.1835730128995685	2.9982075962382693	3.175825401760914	2.2559630221075917	2.746062681373892	2.9810300925917774	3.5385416443959206	200.0	10.961748251007716	0.2046465319135276	0.2863358477247575	0.256393097005643	0.25262452335607255	0.1308871739873711	0.0027008013607139622	0.003933047035491558	0.0014621841619914208	1.0401013390368736	-0.035998092469876966	-11148.0360149378	-668.1210644601031	-518.0438025985379
200000	-11984.5650033679	-1202.8803809500337	-10781.684622417866	127.16932913676118	1890.8306708632388	2460.9976925776664	1.1492136219843212	5.577013316950584	5.336553263932664	5.732924445332123	7.263228565793614	7.251892878938874	7.436912803964633	6.605372733348664	7.3057287392939045	6.578264407326824	5.920160543341987	6.160576454675836	5.9349795882706085	5.488273022316871	6.797910607948937	5.5680359167074	5.800805024353537	5.7741508776041925	5.298170960573496	5.734516269164668	5.03750213014841	6.402437515436449	6.407932212422218	5.582964345240688	4.917974828318662	5.262173615577225	4.956688515842474	4.881123165710336	4.592339735206035	3.565796170419129	2.9023193751312504	1.9959556018728635	1.8404234506911477	1.0872567583155224	0.786105613342738	1.0456043238768542	-0.16012368007377997	-0.7905779891766263	-1.5220727835009091	-1.1889284478431494	-0.7791295962024831	-0.7684688649172999	-1.3532780912086335	-1.7563396293404505	-2.4826725076735587	-2.4961734280326784	-2.7029333111450864	-1.3257002868691985	-0.6833132026127897	1.4866644389013972	1.3985037703228418	200.0	11.719366224071765	0.21035887774206427	0.27975727156993496	0.26448629713636024	0.24539755355164156	0.13738796780677018	0.001147360211787293	9.74171556093829E-4	0.0010846930814549204	0.7264517544885624	0.06916047184370556	-10781.684622417866	-668.1210644601031	-525.3556678385628
300000	-11912.647170804825	-1229.375513817859	-10683.271656986966	192.67722786606595	1825.322772133934	4501.59403397879	2.797565132433624	7.070622188607071	7.041541009413293	8.089268789140707	8.8318863365296	8.547567410215606	8.0141183811637	7.963553480640272	7.762728288063317	7.5959479147715525	7.225228707810941	8.46005505117963	8.068394604215596	7.570426532921397	7.514556189263252	7.683288155089054	6.978265142687217	7.682685069348205	7.14208426605992	6.760909818120981	6.603041856746146	6.6069126719531255	6.655871306467708	7.401460306806829	7.620347516542494	7.069467760194694	6.122688630889739	6.095589671071014	5.560016625823493	5.55173317433311	6.215472924669475	5.971875678652286	5.824296902008049	5.8886097645126	5.659947437128396	4.682629071720862	5.119849178826646	5.292470369345038	4.277816044609139	3.987833053414648	3.90762385511652	3.54739924465983	4.255307827157722	4.181562310244906	4.626625427494288	4.688755763821177	4.21950032434841	3.0106148644578883	3.425355966884159	2.316264506275899	2.139650854293957	200.0	12.058777299772553	0.22889924402446224	0.2697418048618945	0.24846072203455805	0.25289822907908643	0.1361686656964118	6.867403114055807E-4	3.842143344996932E-4	6.111688226962089E-4	0.5091983484641692	0.07294680250156277	-10683.271656986966	-668.1210644601031	-551.2124213344134
400000	-11919.310767100822	-1229.0310274528379	-10690.279739647984	225.17019850769714	1792.829801492303	4927.994945767775	6.091444036749537	8.980674535250007	8.619639479209527	8.52208142401148	8.445883969165369	8.521117424087628	8.32637875036261	8.148864721632116	7.391916005863649	6.997095673959674	7.504189551031329	7.380208533360342	7.215448844513917	7.546434455097622	7.206861921710666	7.679356867924162	7.849297690851002	8.181963077138022	7.413030138641068	6.373386087838341	6.333535384908577	6.5737429413079145	7.239159437109331	6.841114139085367	6.583507343643642	6.046174823549767	5.429549501805752	5.633881667736601	5.392215826709636	5.904029942513144	6.057119134184627	6.213998591508173	6.4499757641514766	5.6602958704022885	5.745020346314401	5.0260574887507765	5.552577939197417	5.983368075758121	5.894907168435374	5.846538638431486	5.5427978395226445	6.064606012809577	5.627735174782988	5.105595416486463	5.017852984945233	4.978273522906175	4.571991937675241	3.9172790588854944	3.499726740652435	3.3078521557626615	4.045573227142007	200.0	12.21056123629904	0.2283940581716382	0.27510931162935476	0.24971010225211754	0.24678652794689115	0.13778851785280957	5.42080279538985E-4	2.2043860251887972E-4	5.37430178802263E-4	0.41563692024770915	0.011827494005741353	-10690.279739647984	-668.1210644601031	-546.6694368473371
500000	-11898.13516207324	-1213.3272865312288	-10684.807875542012	193.2232544164236	1824.7767455835765	4548.954349154688	9.503381065665002	7.669903350937297	8.103256931035762	7.992504439353526	8.391442392870394	8.214875787489637	8.299595989622915	8.629521769968427	8.5093797074975	7.851763151995826	7.763752798461347	7.75433576594408	7.546037521543612	7.522274183179711	7.322771940245965	7.692898894903664	7.405059878478327	7.209655395363692	7.320017864334611	7.292651639676463	7.231818939515566	6.579035800545933	6.765746876845654	7.159048009004195	6.972168400428709	6.781728526293549	6.634155875366188	6.145019721051753	6.3352755295903895	6.29368464227106	5.55241580107094	5.297405863859288	5.2142240773278274	4.986099293484441	5.100846997954626	5.37820670543147	5.080645228363852	5.019401876193811	4.692960427618751	4.722346733426864	4.823029482719058	4.472515161941626	4.894997918214624	4.477686992755548	4.303925452783321	4.169472012452215	3.5412240815617264	3.3932268903402245	3.2639360262776775	3.2521425307309126	2.9111942045277694	200.0	11.620854997494504	0.22722227095959177	0.2845026129810525	0.24843723756413982	0.23983787849521818	0.12969483850343685	6.440338709348128E-4	4.1463643534591916E-4	6.06451999173247E-4	0.6088618207965577	-0.09636591670686469	-10684.807875542012	-668.1210644601031	-534.1745945902076
600000	-11919.89814678033	-1218.4992719587224	-10701.398874821607	220.6237055436284	1797.3762944563716	5228.247687078998	12.765348772596512	8.053282758008189	8.37923397244596	8.286273744302834	8.288965816837674	8.054495060585756	7.999496941732337	7.976470016723009	8.072027349274032	8.088684137526476	8.107402460128739	7.854570941965214	8.130478041072283	8.11126843185635	8.559227186392802	8.442200099698276	8.547590945476212	7.900303936518132	8.186702530688944	8.494681188171723	8.398471790697572	7.914175992239612	7.687311844197608	7.095553187931182	6.767164914815932	7.313236543607208	6.967101256340218	6.878915169616577	6.887776668595769	6.624786030455861	6.082347191683862	6.152873981139299	5.868243418096059	6.061247937646469	5.817347671576715	5.29030830835599	5.0917700760611515	4.975291505633601	4.98612145913385	4.977626030444819	4.805291249607234	5.084209357165135	5.116325381056861	4.899139821004561	4.613861876524504	4.813939381298773	4.696259391117708	4.843530427180875	4.282099309682165	4.365993081621054	4.331411761385983	200.0	11.703014869182821	0.23159640680252683	0.2574049556859231	0.25209177929798765	0.25890685821356474	0.13799090466327493	5.38233062855585E-4	1.973483575255712E-4	5.298241152420903E-4	0.37712848197918086	-0.027494862373409194	-10701.398874821607	-668.1210644601031	-536.0796473750004
700000	-11903.045551714924	-1213.2825110520512	-10689.763040662872	181.93484301178862	1836.0651569882114	3899.178632247621	8.333426363731189	7.039510145433351	7.059976104522391	7.2219369987664574	7.489774642951962	7.824737519642763	7.276946951825073	6.906179058757916	7.343333870383511	7.334804710419282	7.776550676957899	7.934668435998205	7.795714228953223	6.867892629166464	7.361294589020151	7.274212052857424	7.596518603853785	6.529588153162527	6.041204828247971	6.395538845196383	6.07589214725652	6.286280997270632	6.019223945972314	6.126605099529795	6.969056513833343	6.528964904919796	6.324811079485833	5.838864193250599	5.460245894644483	5.583079566222756	5.610191106646357	5.523613854222016	5.407741279835711	5.452211408336663	5.24071351819915	5.097746210040905	5.520468624593653	5.506804359731832	6.046376594953483	5.640193832733712	5.002688676021476	5.318794910423439	5.779837818507608	5.160530142324187	4.898368395091702	4.916851231775212	4.944300943211598	4.638795863484566	5.304531646446902	5.487735453949101	5.365808811694222	200.0	11.683746842790763	0.22249235462418315	0.27240461224042806	0.26821608116949136	0.23688695196589965	0.1372065599404698	7.239217703805723E-4	2.2622555597741004E-4	6.683781215716004E-4	0.34893551343345525	-0.08390623180607003	-10689.763040662872	-668.1210644601031	-534.9871050127954
800000	-11917.915394252972	-1237.034714835343	-10680.880679417629	220.8182658753981	1797.181734124602	5206.713656455089	7.12686094454515	8.146535574555031	8.502490892283015	8.05413801120091	8.246748870134336	8.006825333963471	8.235059280014475	8.275889018318404	8.307281713368894	7.529767018908722	7.304994926278572	7.631569950900824	7.608468615284316	7.621423576760257	7.445969795879371	7.547381426066847	7.773285585272835	7.28810576191327	6.99391340985385	7.474052897035736	6.8610701990000935	7.405979444330686	7.279571396516121	7.220525872343406	7.143034895283731	6.7082257176841695	6.498885894426709	6.59276451140669	6.432650374894907	5.621427993104604	5.600328352506754	5.873694985146895	6.1109786555529295	6.9303169129598645	6.90885126203444	6.701684479872769	6.654152344233944	7.28902640960667	7.2032843493974985	7.331961092943957	6.795830431370689	5.684880396374508	5.075488388948503	4.169273915908038	4.3601782833814315	3.764576748294027	4.002033325264037	4.186463665155913	4.031943904893775	4.294606315181798	3.6297384439395284	200.0	13.121225746754243	0.22286589028523776	0.2655091008120754	0.251155059649042	0.26046994925364736	0.13818163926045143	5.434478479479916E-4	2.4275202742954377E-4	5.171793365882566E-4	0.4736163063802451	0.15550374114690843	-10680.880679417629	-668.1210644601031	-554.9250693124654
900000	-11892.206981954672	-1206.8488767228014	-10685.358105231871	194.5060318690756	1823.4939681309245	4576.806599075086	13.488294010754801	7.758800972492861	7.414303851840427	7.2420601182152815	7.458194563818973	7.561291392735552	7.691563496608654	7.79784051527479	7.525560099507601	7.099263142726389	7.11250740558215	7.260403507336098	7.244045673150998	7.0548410861981505	7.313482782831491	7.532677652384521	7.0526821529697825	7.124245580117546	6.93365775692114	6.512163695391941	6.486808208037886	6.523045218083198	6.567474560521256	6.302089658521221	6.640238709954665	6.389462111477668	6.414927330711402	6.09238608744808	5.985531274360967	5.906702857129361	5.561288848779599	5.748939083175084	5.558166510873352	5.259768892339803	5.796155157932795	5.53401702569173	5.0199851598045475	5.049929844907487	4.613379646670395	4.875935765062635	5.0709653335047795	4.758261545605113	4.8080032206913135	4.520759659037444	3.9170181285239565	4.2590102712743	4.3741253101608235	4.117277653890237	4.178124685222889	3.894819288457449	3.608235698652418	200.0	12.539842886558768	0.23361604456146864	0.2593099248281065	0.25859261643482023	0.2484814141756068	0.13450855740598458	6.316576329494531E-4	2.4599143101965295E-4	5.690498659434818E-4	0.39440501391391036	0.0690623752369702	-10685.358105231871	-668.1210644601031	-527.1273822143264
